record_id,employee_id,event_type,effective_date,from_grade,to_grade,from_department,to_department
MOV-00126,MOEI-10043,Promotion,2026-01-04,4,5,Information Technology,Information Technology
MOV-00127,MOEI-10044,Hire,2023-02-12,,6,,Information Technology
MOV-00128,MOEI-10044,Promotion,2025-03-07,6,7,Information Technology,Information Technology
MOV-00129,MOEI-10045,Hire,2011-08-14,,2,,Infrastructure & Assets
MOV-00130,MOEI-10045,Promotion,2020-06-01,2,3,Infrastructure & Assets,Infrastructure & Assets
MOV-00131,MOEI-10045,Promotion,2022-08-27,3,4,Infrastructure & Assets,Infrastructure & Assets
MOV-00132,MOEI-10045,Promotion,2026-02-24,4,5,Infrastructure & Assets,Infrastructure & Assets
MOV-00133,MOEI-10045,Promotion,2027-03-11,5,6,Infrastructure & Assets,Infrastructure & Assets
MOV-00134,MOEI-10046,Hire,2022-08-14,,1,,Energy & Clean Energy
MOV-00135,MOEI-10047,Hire,2021-07-08,,3,,Infrastructure & Assets
MOV-00136,MOEI-10047,Promotion,2023-07-24,3,4,Infrastructure & Assets,Infrastructure & Assets
MOV-00137,MOEI-10048,Hire,2022-08-14,,2,,Internal Audit
MOV-00138,MOEI-10048,Promotion,2023-09-08,2,3,Internal Audit,Internal Audit
MOV-00139,MOEI-10049,Hire,2020-09-19,,2,,Legal Affairs
MOV-00140,MOEI-10049,Promotion,2023-10-13,2,3,Legal Affairs,Legal Affairs
MOV-00141,MOEI-10050,Hire,2024-01-07,,5,,Housing
MOV-00142,MOEI-10051,Hire,2019-04-26,,4,,Infrastructure & Assets
MOV-00143,MOEI-10051,Promotion,2020-06-01,4,5,Infrastructure & Assets,Infrastructure & Assets
MOV-00144,MOEI-10051,Transfer,2023-04-19,5,5,Infrastructure & Assets,Infrastructure & Assets
MOV-00145,MOEI-10052,Hire,2019-08-14,,1,,Legal Affairs
MOV-00146,MOEI-10052,Promotion,2024-10-16,1,2,Legal Affairs,Legal Affairs
MOV-00147,MOEI-10052,Promotion,2026-03-08,2,3,Legal Affairs,Legal Affairs
MOV-00148,MOEI-10053,Hire,2019-10-26,,3,,Strategy & Future Foresight
MOV-00149,MOEI-10053,Promotion,2024-04-04,3,4,Strategy & Future Foresight,Strategy & Future Foresight
MOV-00150,MOEI-10053,Promotion,2026-03-16,4,5,Strategy & Future Foresight,Strategy & Future Foresight
MOV-00151,MOEI-10054,Hire,2020-12-01,,3,,Corporate Communication
MOV-00152,MOEI-10054,Promotion,2024-08-22,3,4,Corporate Communication,Corporate Communication
MOV-00153,MOEI-10055,Hire,2017-01-06,,2,,Electricity & Water
MOV-00154,MOEI-10055,Promotion,2025-11-08,2,3,Electricity & Water,Electricity & Water
MOV-00155,MOEI-10055,Promotion,2026-11-24,3,4,Electricity & Water,Electricity & Water
MOV-00156,MOEI-10055,Promotion,2027-12-09,4,5,Electricity & Water,Electricity & Water
MOV-00157,MOEI-10056,Hire,2014-01-06,,4,,Infrastructure & Assets
MOV-00158,MOEI-10056,Promotion,2025-08-12,4,5,Infrastructure & Assets,Infrastructure & Assets
MOV-00159,MOEI-10056,Promotion,2026-08-28,5,6,Infrastructure & Assets,Infrastructure & Assets
MOV-00160,MOEI-10056,Promotion,2027-09-13,6,7,Infrastructure & Assets,Infrastructure & Assets
MOV-00161,MOEI-10056,Transfer,2028-09-27,7,7,Infrastructure & Assets,Infrastructure & Assets
MOV-00162,MOEI-10057,Hire,2022-08-14,,7,,Infrastructure & Assets
MOV-00163,MOEI-10057,Promotion,2023-09-27,7,8,Infrastructure & Assets,Infrastructure & Assets
MOV-00164,MOEI-10058,Hire,2023-03-21,,1,,Corporate Communication
MOV-00165,MOEI-10058,Promotion,2026-04-04,1,2,Corporate Communication,Corporate Communication
MOV-00166,MOEI-10059,Hire,2016-02-12,,2,,Infrastructure & Assets
MOV-00167,MOEI-10059,Promotion,2025-05-30,2,3,Infrastructure & Assets,Infrastructure & Assets
MOV-00168,MOEI-10059,Transfer,2026-06-14,3,3,Infrastructure & Assets,Infrastructure & Assets
MOV-00169,MOEI-10059,Transfer,2027-06-29,3,3,Infrastructure & Assets,Infrastructure & Assets
MOV-00170,MOEI-10060,Hire,2021-03-20,,2,,Human Resources
MOV-00171,MOEI-10060,Promotion,2025-10-30,2,3,Human Resources,Human Resources
MOV-00172,MOEI-10061,Hire,2017-01-06,,1,,Legal Affairs
MOV-00173,MOEI-10061,Transfer,2021-07-31,1,1,Legal Affairs,Legal Affairs
MOV-00174,MOEI-10061,Promotion,2025-09-02,1,2,Legal Affairs,Legal Affairs
MOV-00175,MOEI-10062,Hire,2020-01-07,,3,,"Petroleum, Gas & Mineral Resources"
MOV-00176,MOEI-10062,Promotion,2025-11-02,3,4,"Petroleum, Gas & Mineral Resources","Petroleum, Gas & Mineral Resources"
MOV-00177,MOEI-10062,Promotion,2026-11-17,4,5,"Petroleum, Gas & Mineral Resources","Petroleum, Gas & Mineral Resources"
MOV-00178,MOEI-10063,Hire,2021-04-26,,2,,Energy & Clean Energy
MOV-00179,MOEI-10063,Promotion,2026-02-15,2,3,Energy & Clean Energy,Energy & Clean Energy
MOV-00180,MOEI-10064,Hire,2025-09-19,,5,,Electricity & Water
MOV-00181,MOEI-10065,Hire,2022-02-12,,2,,Finance
MOV-00182,MOEI-10065,Promotion,2024-12-06,2,3,Finance,Finance
MOV-00183,MOEI-10066,Hire,2020-02-12,,2,,Procurement & Contracts
MOV-00184,MOEI-10066,Promotion,2022-02-07,2,3,Procurement & Contracts,Procurement & Contracts
MOV-00185,MOEI-10066,Promotion,2025-03-13,3,4,Procurement & Contracts,Procurement & Contracts
MOV-00186,MOEI-10067,Hire,2023-04-26,,4,,Housing
MOV-00187,MOEI-10067,Promotion,2026-03-21,4,5,Housing,Housing
MOV-00188,MOEI-10068,Hire,2020-03-20,,3,,Internal Audit
MOV-00189,MOEI-10068,Promotion,2025-12-14,3,4,Internal Audit,Internal Audit
MOV-00190,MOEI-10068,Transfer,2026-12-29,4,4,Internal Audit,Internal Audit
MOV-00191,MOEI-10069,Hire,2026-01-06,,7,,Land & Maritime Transport
MOV-00192,MOEI-10070,Hire,2021-07-08,,4,,Infrastructure & Assets
MOV-00193,MOEI-10070,Transfer,2025-05-15,4,4,Infrastructure & Assets,Infrastructure & Assets
MOV-00194,MOEI-10071,Hire,2020-09-19,,5,,Internal Audit
MOV-00195,MOEI-10071,Transfer,2023-04-03,5,5,Internal Audit,Internal Audit
MOV-00196,MOEI-10072,Hire,2021-07-08,,5,,Finance
MOV-00197,MOEI-10072,Transfer,2025-01-16,5,5,Finance,Finance
MOV-00198,MOEI-10073,Hire,2024-12-01,,1,,Customer Happiness
MOV-00199,MOEI-10074,Hire,2025-01-06,,4,,Procurement & Contracts
MOV-00200,MOEI-10075,Hire,2021-07-08,,4,,Corporate Communication
MOV-00201,MOEI-10075,Promotion,2025-12-20,4,5,Corporate Communication,Corporate Communication
MOV-00202,MOEI-10076,Hire,2020-06-01,,2,,Land & Maritime Transport
MOV-00203,MOEI-10076,Promotion,2024-04-16,2,3,Land & Maritime Transport,Land & Maritime Transport
MOV-00204,MOEI-10077,Hire,2020-10-25,,3,,"Petroleum, Gas & Mineral Resources"
MOV-00205,MOEI-10077,Promotion,2025-06-02,3,4,"Petroleum, Gas & Mineral Resources","Petroleum, Gas & Mineral Resources"
MOV-00206,MOEI-10078,Hire,2018-12-01,,3,,Corporate Communication
MOV-00207,MOEI-10078,Promotion,2019-12-29,3,4,Corporate Communication,Corporate Communication
MOV-00208,MOEI-10078,Promotion,2024-03-05,4,5,Corporate Communication,Corporate Communication
MOV-00209,MOEI-10079,Hire,2020-02-12,,2,,Procurement & Contracts
MOV-00210,MOEI-10079,Promotion,2023-01-26,2,3,Procurement & Contracts,Procurement & Contracts
MOV-00211,MOEI-10079,Transfer,2026-01-23,3,3,Procurement & Contracts,Procurement & Contracts
MOV-00212,MOEI-10080,Hire,2023-09-19,,5,,Land & Maritime Transport
MOV-00213,MOEI-10081,Hire,2019-02-12,,2,,Infrastructure & Assets
MOV-00214,MOEI-10081,Transfer,2025-05-07,2,2,Infrastructure & Assets,Infrastructure & Assets
MOV-00215,MOEI-10081,Promotion,2026-05-22,2,3,Infrastructure & Assets,Infrastructure & Assets
MOV-00216,MOEI-10082,Hire,2019-01-07,,1,,Infrastructure & Assets
MOV-00217,MOEI-10082,Promotion,2021-01-09,1,2,Infrastructure & Assets,Infrastructure & Assets
MOV-00218,MOEI-10082,Promotion,2025-05-18,2,3,Infrastructure & Assets,Infrastructure & Assets
MOV-00219,MOEI-10083,Hire,2020-02-12,,4,,Corporate Communication
MOV-00220,MOEI-10083,Promotion,2021-04-08,4,5,Corporate Communication,Corporate Communication
MOV-00221,MOEI-10083,Promotion,2022-05-14,5,6,Corporate Communication,Corporate Communication
MOV-00222,MOEI-10084,Hire,2023-04-26,,5,,Information Technology
MOV-00223,MOEI-10084,Promotion,2025-05-28,5,6,Information Technology,Information Technology
MOV-00224,MOEI-10085,Hire,2013-08-13,,2,,Energy & Clean Energy
MOV-00225,MOEI-10085,Promotion,2020-03-10,2,3,Energy & Clean Energy,Energy & Clean Energy
MOV-00226,MOEI-10085,Promotion,2025-01-17,3,4,Energy & Clean Energy,Energy & Clean Energy
MOV-00227,MOEI-10085,Promotion,2026-02-25,4,5,Energy & Clean Energy,Energy & Clean Energy
MOV-00228,MOEI-10085,Promotion,2027-03-12,5,6,Energy & Clean Energy,Energy & Clean Energy
MOV-00229,MOEI-10086,Hire,2015-12-01,,1,,Land & Maritime Transport
MOV-00230,MOEI-10086,Promotion,2021-03-17,1,2,Land & Maritime Transport,Land & Maritime Transport
MOV-00231,MOEI-10086,Promotion,2023-03-31,2,3,Land & Maritime Transport,Land & Maritime Transport
MOV-00232,MOEI-10086,Promotion,2025-11-13,3,4,Land & Maritime Transport,Land & Maritime Transport
MOV-00233,MOEI-10087,Hire,2025-07-08,,7,,Human Resources
MOV-00234,MOEI-10088,Hire,2023-06-02,,3,,Energy & Clean Energy
MOV-00235,MOEI-10089,Hire,2012-02-12,,5,,Infrastructure & Assets
MOV-00236,MOEI-10089,Promotion,2018-03-23,5,6,Infrastructure & Assets,Infrastructure & Assets
MOV-00237,MOEI-10089,Promotion,2022-04-28,6,7,Infrastructure & Assets,Infrastructure & Assets
MOV-00238,MOEI-10089,Promotion,2024-05-09,7,8,Infrastructure & Assets,Infrastructure & Assets
MOV-00239,MOEI-10089,Promotion,2025-10-03,8,9,Infrastructure & Assets,Infrastructure & Assets
MOV-00240,MOEI-10090,Hire,2018-08-14,,4,,Information Technology
MOV-00241,MOEI-10090,Transfer,2022-08-16,4,4,Information Technology,Information Technology
MOV-00242,MOEI-10090,Promotion,2024-08-28,4,5,Information Technology,Information Technology
MOV-00243,MOEI-10091,Hire,2026-01-06,,4,,Strategy & Future Foresight
MOV-00244,MOEI-10092,Hire,2026-01-06,,4,,Information Technology
MOV-00245,MOEI-10093,Hire,2023-10-26,,3,,Customer Happiness
MOV-00246,MOEI-10094,Hire,2022-08-14,,1,,Legal Affairs
MOV-00247,MOEI-10094,Promotion,2024-08-20,1,2,Legal Affairs,Legal Affairs
MOV-00248,MOEI-10095,Hire,2021-12-01,,1,,Land & Maritime Transport
MOV-00249,MOEI-10095,Promotion,2025-11-21,1,2,Land & Maritime Transport,Land & Maritime Transport
MOV-00250,MOEI-10096,Hire,2025-09-19,,5,,Information Technology
MOV-00251,MOEI-10097,Hire,2012-09-19,,1,,Corporate Communication
MOV-00252,MOEI-10097,Transfer,2017-07-31,1,1,Corporate Communication,Corporate Communication
MOV-00253,MOEI-10097,Promotion,2025-03-08,1,2,Corporate Communication,Corporate Communication
MOV-00254,MOEI-10097,Promotion,2026-04-26,2,3,Corporate Communication,Corporate Communication
MOV-00255,MOEI-10097,Promotion,2027-05-12,3,4,Corporate Communication,Corporate Communication
MOV-00256,MOEI-10098,Hire,2017-08-13,,2,,Land & Maritime Transport
MOV-00257,MOEI-10098,Promotion,2026-04-21,2,3,Land & Maritime Transport,Land & Maritime Transport
MOV-00258,MOEI-10098,Promotion,2027-05-06,3,4,Land & Maritime Transport,Land & Maritime Transport
MOV-00259,MOEI-10099,Hire,2018-12-01,,1,,Finance
MOV-00260,MOEI-10099,Promotion,2025-08-09,1,2,Finance,Finance
MOV-00261,MOEI-10099,Transfer,2026-08-25,2,2,Finance,Finance
MOV-00262,MOEI-10100,Hire,2022-12-01,,1,,Housing
MOV-00263,MOEI-10100,Promotion,2026-02-14,1,2,Housing,Housing
MOV-00264,MOEI-10101,Hire,2016-03-20,,1,,Housing
MOV-00265,MOEI-10101,Promotion,2019-09-14,1,2,Housing,Housing
MOV-00266,MOEI-10101,Promotion,2020-12-01,2,3,Housing,Housing
MOV-00267,MOEI-10101,Promotion,2024-11-08,3,4,Housing,Housing
MOV-00268,MOEI-10102,Hire,2019-08-14,,3,,Land & Maritime Transport
MOV-00269,MOEI-10102,Promotion,2022-09-30,3,4,Land & Maritime Transport,Land & Maritime Transport
MOV-00270,MOEI-10102,Promotion,2025-02-04,4,5,Land & Maritime Transport,Land & Maritime Transport
MOV-00271,MOEI-10103,Hire,2017-12-01,,3,,Land & Maritime Transport
MOV-00272,MOEI-10103,Promotion,2023-02-17,3,4,Land & Maritime Transport,Land & Maritime Transport
MOV-00273,MOEI-10103,Promotion,2026-01-06,4,5,Land & Maritime Transport,Land & Maritime Transport
MOV-00274,MOEI-10104,Hire,2021-12-01,,3,,Finance
MOV-00275,MOEI-10104,Promotion,2023-02-23,3,4,Finance,Finance
MOV-00276,MOEI-10105,Hire,2019-09-19,,2,,"Petroleum, Gas & Mineral Resources"
MOV-00277,MOEI-10105,Promotion,2021-05-05,2,3,"Petroleum, Gas & Mineral Resources","Petroleum, Gas & Mineral Resources"
MOV-00278,MOEI-10105,Promotion,2022-06-05,3,4,"Petroleum, Gas & Mineral Resources","Petroleum, Gas & Mineral Resources"
MOV-00279,MOEI-10106,Hire,2019-02-12,,3,,Land & Maritime Transport
MOV-00280,MOEI-10106,Promotion,2025-06-27,3,4,Land & Maritime Transport,Land & Maritime Transport
MOV-00281,MOEI-10106,Promotion,2026-07-12,4,5,Land & Maritime Transport,Land & Maritime Transport
MOV-00282,MOEI-10107,Hire,2022-12-01,,3,,Legal Affairs
MOV-00283,MOEI-10107,Promotion,2024-12-16,3,4,Legal Affairs,Legal Affairs
MOV-00284,MOEI-10108,Hire,2015-06-02,,3,,Human Resources
MOV-00285,MOEI-10108,Promotion,2021-09-10,3,4,Human Resources,Human Resources
MOV-00286,MOEI-10108,Promotion,2022-11-08,4,5,Human Resources,Human Resources
MOV-00287,MOEI-10108,Promotion,2025-08-15,5,6,Human Resources,Human Resources
MOV-00288,MOEI-10109,Hire,2014-04-26,,1,,Procurement & Contracts
MOV-00289,MOEI-10109,Promotion,2021-10-25,1,2,Procurement & Contracts,Procurement & Contracts
MOV-00290,MOEI-10109,Promotion,2025-02-03,2,3,Procurement & Contracts,Procurement & Contracts
MOV-00291,MOEI-10109,Promotion,2026-03-21,3,4,Procurement & Contracts,Procurement & Contracts
MOV-00292,MOEI-10109,Promotion,2027-04-06,4,5,Procurement & Contracts,Procurement & Contracts
MOV-00293,MOEI-10110,Hire,2022-06-01,,1,,Energy & Clean Energy
MOV-00294,MOEI-10110,Promotion,2026-02-28,1,2,Energy & Clean Energy,Energy & Clean Energy
MOV-00295,MOEI-10111,Hire,2015-08-14,,1,,Human Resources
MOV-00296,MOEI-10111,Transfer,2020-01-09,1,1,Human Resources,Human Resources
MOV-00297,MOEI-10111,Promotion,2026-04-09,1,2,Human Resources,Human Resources
MOV-00298,MOEI-10111,Promotion,2027-04-24,2,3,Human Resources,Human Resources
MOV-00299,MOEI-10112,Hire,2015-04-26,,2,,Infrastructure & Assets
